journal	year	authors	title	language	wordcount	doctype	doi	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count
The Modern Language Review	2007	['Jeremy Tambling']	Review Article	['eng']	660	article | book-review	10.2307/20467169	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1926	['Letterio di Francia']	The Real Source of a Novella by Bandello (i, 41) on the Loves of Sophonisba and Masinissa	['eng']	2431	article | research-article	10.2307/3714715	0	The Real Source of a Novella by Bandello (i, 41) on the Loves of Sophonisba and Masinissa	1926	found	1.0	Modern Language Review	Letterio di Francia	0
New Literary History	2016	['anonymous']	BOOKS RECEIVED	['eng']	421	article | misc	10.2307/24772791	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2005	['Graham Gargett']	Review Article	['eng']	857	article | book-review	10.2307/3739185	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1923	['Charles E. Gough']	"""Ûfrîden"" in ""Meier Helmbrecht,"" L. 428"	['eng']	804	article | research-article	10.2307/3714186	0	"""Ufriden"" in ""Meier Helmbrecht,"" L. 428"		no strong match	0.0	NA	NA	0
Modern Philology	2005	['Richard Strier']	Editorial Statement	['eng']	1207	article | research-article	10.1086/499175	0	Editorial Statement	2005-08-01	no strong match	0.78	NA	NA	0
New Literary History	1983	['Murray Krieger']	In the Wake of Morality: The Thematic Underside of Recent Theory	['eng']	8149	article | research-article	10.2307/468996	9	In the Wake of Morality: The Thematic Underside of Recent Theory	1983-01-23	already found	0.0	NA	NA	9
The Review of English Studies	1996	['Donald A. Low']	Review Article	['eng']	808	article | book-review	10.2307/518314	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1991	['Andrew Ross']	Review Article	['eng']	1227	article | book-review	10.2307/3732579	40	Reading Race: White American Poets and the Racial Discourse in the Twentieth Century		not citable	0.0	NA	NA	40
The Modern Language Review	1988	['Lino Pertile']	Review Article	['eng']	1884	article | book-review	10.2307/3731752	2	Prosatori e narratori del Novecento italiano@@@La letteratura dell'utopia: Sociologia del romanzo contemporaneo	1988-04-01	not citable	0.0	NA	NA	2
The Review of English Studies	1996	['T. H. Howard-Hill']	Review Article	['eng']	1052	article | book-review	10.2307/518123	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1985	['John L. Flood']	Review Article	['eng']	1954	article | book-review	10.2307/3729449	0	Studien zur Gebrauchssituation früher deutscher Druckprosa : literarische Öffentlichkeit in Vorreden zu Augsburger Frühdrucken		not citable	0.0	NA	NA	0
The Modern Language Review	2012	['Peter Zusi']	Review Article	['eng']	1533	article | research-article	10.5699/modelangrevi.107.1.0263	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2005	['J. G. Robertson']	The Knowledge of Shakespeare on the Continent at the Beginning of the Eighteenth Century	['eng']	4799	article | research-article	10.2307/3738155	0		no date	no strong match	0.88	NA	NA	0
The Modern Language Review	2011	['Ritchie Robertson']	Review Article	['eng']	1067	article | research-article	10.5699/modelangrevi.106.3.0903	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1956	['John Preston']	Fortunys Exiltree: A Study of The Kingis Quair	['eng']	3767	article | research-article	10.2307/510582	0	FORTUNYS EXILTREE: A STUDY OF THE KINGIS QUAIR	1956	found	1.12	The Review of English Studies	J. Preston	5
Modern Philology	1974	['Robert Emmett Finnegan']	"Three Notes on the Junius XI ""Christ and Satan:"" Lines 78-79; Lines 236-42; Lines 435-38"	['eng']	3822	article | research-article	10.2307/436742	0	"Three Notes on the Junius XI ""Christ and Satan:"" Lines 78-79; Lines 236-42; Lines 435-38"	1974	found	1.12	Modern Philology	R. Finnegan	1
Critical Inquiry	1977	['anonymous']	Back Matter	['eng']	3483	article | misc	10.2307/1343065	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1988	['Raymond Furness']	Review Article	['eng']	604	article | book-review	10.2307/3731398	0	Die literarische Decadence um 1900	1988-01-24	not citable	0.0	NA	NA	0
The Review of English Studies	1986	['W. J. B. Owen']	Review Article	['eng']	1316	article | book-review	10.2307/516463	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2010	['BILL BURGWINKLE']	Review Article	['eng']	1498	article | book-review	10.2307/40587684	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2002	['Paul Bishop']	Review Article	['eng']	1863	article | book-review	10.2307/3736967	6	Metaphor and Materiality: German Literature and the World-View of Science 1780-1955 (review)	2000-08-01	not citable	0.0	NA	NA	6
The Modern Language Review	1999	['Stephen Henighan']	Two Paths to the Boom: Carpentier, Asturias, and the Performative Split	['eng']	9423	article | research-article	10.2307/3737234	1	Two Paths to the Boom: Carpentier, Asturias, and the Performative Split	1999-10-01	already found	0.0	NA	NA	1
The Modern Language Review	1912	['P. Studer']	Review Article	['eng']	2612	article | book-review	10.2307/3713700	6	Life of the Black Prince by the Herald of Sir John Chandos	1912-07-01	not citable	0.0	NA	NA	6
The Modern Language Review	1987	['R. F. Cousins']	Review Article	['eng']	1209	article | book-review	10.2307/3729118	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1958	['R. Hinton Thomas']	Review Article	['eng']	607	article | book-review	10.2307/3718240	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1989	['anonymous']	Volume Information	['eng']	16349	article | misc	10.2307/3731149	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2013	['Theodore Ziolkowski']	Review Article	['eng']	1514	article | book-review	10.5699/modelangrevi.108.4.1255	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1987	['Sylvère Monod']	Review Article	['eng']	624	article | book-review	10.2307/3729075	3	The Notebooks of George Meredith	1984-07-01	not citable	0.0	NA	NA	3
The Review of English Studies	1937	['C. Bowie Millican']	Review Article	['eng']	1907	article | book-review	10.2307/509613	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1978	['G. Kelly']	Review Article	['eng']	1464	article | book-review	10.2307/515068	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1928	['William S. Clark']	The Sources of the Restoration Heroic Play	['eng']	6313	article | research-article	10.2307/507701	0	THE SOURCES OF THE RESTORATION HEROIC PLAY	no date	found	1.03	The Review of English Studies	W. S. Clark	3
The Modern Language Review	2007	['Teresa Pinto Coelho']	Review Article	['eng']	688	article | book-review	10.2307/20467493	8	Eça de Queiroz	2007-07-01	not citable	0.0	NA	NA	8
Modern Philology	2013	['Cary\u200a J. Nederman']	<em>David Matthews</em> Writing to the King: Nation, Kingship and Literature in England, 1250–1350	['eng']	1273	article | book-review	10.1086/670285	0	David Matthews Writing to the King: Nation, Kingship and Literature in England, 1250–1350	2013	found	0.94	Modern Philology	C. Nederman	0
The Modern Language Review	1992	['Werner Huber']	Review Article	['eng']	593	article | book-review	10.2307/3732333	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1987	['David Womersley']	Review Article	['eng']	1218	article | book-review	10.2307/517055	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1910	['Francis A. Wood']	"""Elckerlijc-Everyman:"" The Question of Priority"	['eng']	8021	article | research-article	10.2307/432510	0	"""Elckerlijc-Everyman:"" The Question of Priority"	1910	found	1.12	Modern Philology	F. A. Wood	0
The Modern Language Review	1927	['H. Dugdale Sykes']	Review Article	['eng']	1538	article | book-review	10.2307/3714650	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1931	['G. C. Moore Smith']	Review Article	['eng']	1061	article | book-review	10.2307/3715532	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1984	['Paul Hammond']	Review Article	['eng']	2057	article | book-review	10.2307/516178	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1934	['F. Norman']	Review Article	['eng']	1041	article | book-review	10.2307/3715628	0	Die altdeutsche Genesis	1934-10-01	not citable	0.0	NA	NA	0
The Review of English Studies	1991	['John Morrill']	Review Article	['eng']	769	article | book-review	10.2307/518809	0		no date	not citable	0.0	NA	NA	0
ELH	2004	['Stephanie Le Menager']	Floating Capital: The Trouble with Whiteness on Twain's Mississippi	['eng']	12444	article | research-article	10.2307/30030056	0	Floating Capital: The Trouble with Whiteness on Twain's Mississippi	2004	found	1.02	ELH	S. Lemenager	7
PMLA	1963	['Lillian Herlands Hornstein']	King Robert of Sicily: A New Manuscript	['eng']	3991	article | research-article	10.2307/460722	0	King Robert of Sicily: A New Manuscript	1963	found	1.12	PMLA/Publications of the Modern Language Association of America	Lillian Herlands Hornstein	0
The Modern Language Review	2008	['H. B. Nisbet']	Review Article	['eng']	598	article | book-review	10.2307/20467984	0	Lessings Bucherwerbungen: Verzeichnis der in der Herzoglichen Bibliothek Wolfenbüttel angeschafften Bücher und Zeitschriften 1770-1781@@@Lessings Büchernachlaβ: Verzeichnis der von Lessing bei seinem Tode in seiner Wohnung hinterlassenen Bücher und Handschriften	2008-07-01	not citable	0.0	NA	NA	0
The Modern Language Review	1990	['C. J. Gossip']	Review Article	['eng']	1191	article | book-review	10.2307/3732699	1	"Moliere: ""L'Ecole Des Femmes"""		not citable	0.0	NA	NA	1
The Modern Language Review	1985	['J. C. Whitehouse']	Review Article	['eng']	1940	article | book-review	10.2307/3729010	0	La France dans l'Histoire selon Bernanos@@@Approche rhetorique de la dialectique des sens chez Bernanos (II)	1985-10-01	not citable	0.0	NA	NA	0
PMLA	1934	['Constance Miriam Syford']	The Direct Source of the Pamela-Cecropia Episode in the Arcadia	['eng']	8108	article | research-article	10.2307/458171	2	The Direct Source of the Pamela-Cecropia Episode in the Arcadia	1934-06-01	already found	0.0	NA	NA	2
Modern Philology	1949	['James R. Hulbert']	Review Article	['eng']	542	article | book-review	10.2307/435535	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2004	['William Flesch']	Review Article	['eng']	2201	article | book-review	10.1086/431560	0	Shakespeare’s Noise. Kenneth Gross. Chicago: University of Chicago Press, 2001. Pp. xii+282.	2004-11-01	not citable	0.0	NA	NA	0
The Modern Language Review	1987	['Conor Fahy']	Review Article	['eng']	1229	article | book-review	10.2307/3729966	0	"L'apologia del vero : lettura ed interpretazione dei ""Promessi sposi"""		not citable	0.0	NA	NA	0
PMLA	1953	['Albert H. Marckwardt']	Report of the Committee on Research Activities	['eng']	362	article | misc	10.2307/2699125	0	Report of the Committee on Research Activities	1953	found	1.12	PMLA/Publications of the Modern Language Association of America	A. H. Marckwardt	0
The Modern Language Review	1999	['Lance St John Butler']	Review Article	['eng']	1096	article | book-review	10.2307/3737335	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1993	['Peter Easingwood']	Review Article	['eng']	1240	article | book-review	10.2307/3733802	13	Confessional Fictions: A Portrait of the Artist in the Canadian Novel	1991-02-01	not citable	0.0	NA	NA	13
The Review of English Studies	1937	['P. L. Carver']	Review Article	['eng']	1062	article | book-review	10.2307/509617	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1982	['Patricia Ingham']	The Name of the Hero in Oliver Twist	['eng']	519	article | research-article	10.2307/517207	0	THE NAME OF THE HERO IN OLIVER TWIST	1982	found	1.12	The Review of English Studies	P. Ingham	1
The Modern Language Review	1988	['Hugh Ormsby-Lennon']	Review Article	['eng']	2399	article | book-review	10.2307/3730924	4	The Bible and Reason: Anglicans and Scripture in Late Seventeenth-Century England@@@John Toland: His Methods, Manners, and Mind	1988-10-01	not citable	0.0	NA	NA	4
The Modern Language Review	1915	['A. C. Guthkelch']	"Swift's ""Tale of a Tub."" V. The Authorship of the Notes (1704 and 1710)"	['eng']	3588	article | research-article	10.2307/3713554	0	"Swift's ""Tale of a Tub."" V. The Authorship of the Notes (1704 and 1710)"	1915	found	1.0	Modern Language Review	A. C. Guthkelch	0
PMLA	1994	['anonymous']	A Concise Guide to Activities and Services	['eng']	5261	article | misc	10.2307/463209	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1981	['R. F. Yeager']	Review Article	['eng']	1900	article | book-review	10.2307/3727405	0	John Gower, the Medieval Poet@@@Kingship and Common Profit in Gower's 'Confessio Amantis'	1981-07-01	not citable	0.0	NA	NA	0
Modern Philology	1957	['J. P. Thorne']	"A Ramistical Commentary on Sidney's ""An Apologie for Poetrie"""	['eng']	4449	article | research-article	10.2307/434730	0	"A Ramistical Commentary on Sidney's ""An Apologie for Poetrie"""	1957	found	1.12	Modern Philology	J. Thorne	3
The Review of English Studies	1967	['William H. Matchett']	Donne's 'Peece of Chronicle'	['eng']	920	article | research-article	10.2307/512220	0	DONNE'S ’PEECE OF CHRONICLE‘	1967	found	1.0485714285714287	The Review of English Studies	W. Matchett	0
Modern Philology	1991	['Katie Trumpener']	Review Article	['eng']	2493	article | book-review	10.2307/438073	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2018	['Rachel Willie']	Review Article	['eng']	1493	article | book-review	10.5699/modelangrevi.113.1.0224	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1990	['H. B. Nisbet']	Review Article	['eng']	1962	article | book-review	10.2307/3732303	0	Werke und Briefe@@@Lessing-Bibliographie 1971-1985	1990-07-01	not citable	0.0	NA	NA	0
The Modern Language Review	2004	['Iris Cox']	Review Article	['eng']	571	article | book-review	10.2307/3739037	0	OEuvres completes de Montesquieu, Vol. VIII: OEuvres et ecrits divers I	2004-07-01	not citable	0.0	NA	NA	0
The Review of English Studies	1947	['J. M. S. Tompkins']	Review Article	['eng']	493	article | book-review	10.2307/509635	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1992	['Temma F. Berg']	Review Article	['eng']	1288	article | book-review	10.2307/3732934	65	Rhetoric: The Wit of Persuasion	1989-11-01	not citable	0.0	NA	NA	65
The Modern Language Review	1965	['anonymous']	Front Matter	['eng']	1578	article | misc	10.2307/3719979	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1926	['Edmund G. Gardner']	Review Article	['eng']	953	article | book-review	10.2307/3714795	4	An Italian Dictionary		not citable	0.0	NA	NA	4
The Modern Language Review	1953	['D. J. A. Ross']	"""La Houce Partie"": A Postscript"	['eng']	572	article | research-article	10.2307/3719818	0	"""La Houce Partie"": A Postscript"	1953	found	1.0	Modern Language Review	D. Ross	0
The Modern Language Review	1985	['Paula R. Backscheider']	Review Article	['eng']	2621	article | book-review	10.2307/3729299	0	The Eighteenth Century: A Current Bibliographys n.s. 3: For 1977 and n.s. 4: For 1978	1985-07-01	not citable	0.0	NA	NA	0
The Review of English Studies	1989	['Marion Jones']	Review Article	['eng']	1239	article | book-review	10.2307/516511	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1988	['Roger Cardinal']	Review Article	['eng']	1237	article | book-review	10.2307/3731363	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1988	['Andrew Lincoln']	Review Article	['eng']	1198	article | book-review	10.2307/515499	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1960	['David Novarr']	Dekker's Gentle Craft and the Lord Mayor of London	['eng']	4590	article | research-article	10.2307/435366	0	Dekker's Gentle Craft and the Lord Mayor of London	1960	found	1.12	Modern Philology	David Novarr	4
Modern Philology	2003	['Michelangelo Picone']	La Cornice Novellistica dal Decameron al Pentamerone	['eng']	8702	article | research-article	10.1086/422616	4	La Cornice Novellistica dal Decameron al Pentamerone	2003-11-01	already found	0.0	NA	NA	4
