author,data
['J. Oliver Thomson'],Result for ['J. Oliver Thomson']
"[""J. L. N. O'Loughlin""]","Result for [""J. L. N. O'Loughlin""]"
['Claire White'],Result for ['Claire White']
['Clifford Leech'],Result for ['Clifford Leech']
['Ben F. Stoltzfus'],Result for ['Ben F. Stoltzfus']
['M. R. Godden'],Result for ['M. R. Godden']
['Dianne F. Sadoff'],Result for ['Dianne F. Sadoff']
['Richard Sheppard'],Result for ['Richard Sheppard']
['G. C. Macaulay'],Result for ['G. C. Macaulay']
['Walter W. Skeat'],Result for ['Walter W. Skeat']
['Bernard Richards'],Result for ['Bernard Richards']
['Jon Stallworthy'],Result for ['Jon Stallworthy']
['Claude Rawson'],Result for ['Claude Rawson']
['David Porush'],Result for ['David Porush']
['A. W. Lyle'],Result for ['A. W. Lyle']
['Henry David Gray'],Result for ['Henry David Gray']
['R. M. Lumiansky'],Result for ['R. M. Lumiansky']
['Thomas M. Greene'],Result for ['Thomas M. Greene']
['Andrew Gibson'],Result for ['Andrew Gibson']
['John Woolford'],Result for ['John Woolford']
['Bruno Latour'],Result for ['Bruno Latour']
['Miriam Allott'],Result for ['Miriam Allott']
['Robert Gordon'],Result for ['Robert Gordon']
['Robert Vigneron'],Result for ['Robert Vigneron']
['Hal Foster'],Result for ['Hal Foster']
['Elaine Care'],Result for ['Elaine Care']
['Winifred Maynard'],Result for ['Winifred Maynard']
['Harold Williams'],Result for ['Harold Williams']
['Martin Elsky'],Result for ['Martin Elsky']
['Hannah Berliner Fischthal'],Result for ['Hannah Berliner Fischthal']
['Mandy Green'],Result for ['Mandy Green']
['Patrick J. Daly Jr.'],Result for ['Patrick J. Daly Jr.']
['Katarzyna Bartoszyńska'],Result for ['Katarzyna Bartoszyńska']
['F. P. LOCK'],Result for ['F. P. LOCK']
['J. D. Hainsworth'],Result for ['J. D. Hainsworth']
['Jack M. Stein'],Result for ['Jack M. Stein']
['Nancy Bentley'],Result for ['Nancy Bentley']
['E. Speidel'],Result for ['E. Speidel']
['Peter Collier'],Result for ['Peter Collier']
['Kathleen Campbell'],Result for ['Kathleen Campbell']
['Michael T. Gilmore'],Result for ['Michael T. Gilmore']
['Fredson Bowers'],Result for ['Fredson Bowers']
['Peter Standish'],Result for ['Peter Standish']
['Richard Bolster'],Result for ['Richard Bolster']
['Benjamin Boyce'],Result for ['Benjamin Boyce']
['J. K. Bostock'],Result for ['J. K. Bostock']
['Mary Brockington'],Result for ['Mary Brockington']
['Percy H. Reaney'],Result for ['Percy H. Reaney']
['Pauline Kiernan'],Result for ['Pauline Kiernan']
['M. Manzanares de Cirre'],Result for ['M. Manzanares de Cirre']
['Charles K. Fish'],Result for ['Charles K. Fish']
['Herman Iventosch'],Result for ['Herman Iventosch']
['J. A. W. Bennett'],Result for ['J. A. W. Bennett']
 a r taylor,Result for  a r taylor
['Tony Hunt'],Result for ['Tony Hunt']
['Martin Schütze'],Result for ['Martin Schütze']
['Alex Zwerdling'],Result for ['Alex Zwerdling']
['D. Douglas Waters'],Result for ['D. Douglas Waters']
['J. H. G. Grattan'],Result for ['J. H. G. Grattan']
['Kaltërina Latifi'],Result for ['Kaltërina Latifi']
['A. Zee'],Result for ['A. Zee']
['Glynne Wickham'],Result for ['Glynne Wickham']
['Richard A. McCabe'],Result for ['Richard A. McCabe']
['Donna Heiland'],Result for ['Donna Heiland']
 edward mendelson,Result for  edward mendelson
['Edwin Morgan'],Result for ['Edwin Morgan']
['G. Blakemore Evans'],Result for ['G. Blakemore Evans']
['Inez Macdonald'],Result for ['Inez Macdonald']
['TESSA WHITEHOUSE'],Result for ['TESSA WHITEHOUSE']
['John Phillips'],Result for ['John Phillips']
['Janet Clare'],Result for ['Janet Clare']
['E. G. Stanley'],Result for ['E. G. Stanley']
['Wayne Burns'],Result for ['Wayne Burns']
['MIKE GOODE'],Result for ['MIKE GOODE']
['Wendy Olmsted'],Result for ['Wendy Olmsted']
['G. T. Northup'],Result for ['G. T. Northup']
['David H. Richter'],Result for ['David H. Richter']
['James Woodward'],Result for ['James Woodward']
['Edith C. Batho'],Result for ['Edith C. Batho']
['Joseph Toy Curtiss'],Result for ['Joseph Toy Curtiss']
['Nicoletta Simborowski'],Result for ['Nicoletta Simborowski']
['S. E. Sprott'],Result for ['S. E. Sprott']
['Harriet Jump'],Result for ['Harriet Jump']
 s clark hulse,Result for  s clark hulse
['Fredric Jameson'],Result for ['Fredric Jameson']
['Sarah E. L. Bowskill'],Result for ['Sarah E. L. Bowskill']
['Arthur Kirsch'],Result for ['Arthur Kirsch']
['Brigid Haines'],Result for ['Brigid Haines']
['A. N. L. Munby'],Result for ['A. N. L. Munby']
['Robert Fox'],Result for ['Robert Fox']
['R. J. Kaufmann'],Result for ['R. J. Kaufmann']
['Peter Davison'],Result for ['Peter Davison']
['Stuart M. Sperry'],Result for ['Stuart M. Sperry']
 lawrence thornton,Result for  lawrence thornton
['Ernest Sirluck'],Result for ['Ernest Sirluck']
['Norman T. Burns'],Result for ['Norman T. Burns']
 david mikics,Result for  david mikics
['Siegfried Wenzel'],Result for ['Siegfried Wenzel']
['H. G. Fiedler'],Result for ['H. G. Fiedler']
['Richmond P. Bond'],Result for ['Richmond P. Bond']
['Sara C. Dewhirst'],Result for ['Sara C. Dewhirst']
['W. G. Sebald'],Result for ['W. G. Sebald']
['Kate McLuskie'],Result for ['Kate McLuskie']
['Stephanie Bird'],Result for ['Stephanie Bird']
['J. H. Brumfitt'],Result for ['J. H. Brumfitt']
['Elisabetta Leopardi'],Result for ['Elisabetta Leopardi']
"[""Deirdre O'Grady""]","Result for [""Deirdre O'Grady""]"
['Matthew Campbell'],Result for ['Matthew Campbell']
['Carl J. Weber'],Result for ['Carl J. Weber']
['Rachel Killick'],Result for ['Rachel Killick']
['Rebecca Ann Bach'],Result for ['Rebecca Ann Bach']
['Warren E. Gibbs'],Result for ['Warren E. Gibbs']
['R. S. Dombroski'],Result for ['R. S. Dombroski']
['S. C. Aston'],Result for ['S. C. Aston']
['Gregory Chaplin'],Result for ['Gregory Chaplin']
['J. Russell Perkin'],Result for ['J. Russell Perkin']
['M. Montgomery'],Result for ['M. Montgomery']
['Rosalind E. Krauss'],Result for ['Rosalind E. Krauss']
['J. W. Saunders'],Result for ['J. W. Saunders']
['B. W. Downs'],Result for ['B. W. Downs']
['Luca Baldoni'],Result for ['Luca Baldoni']
['Andreas Hüther'],Result for ['Andreas Hüther']
['Arnold I. Davidson'],Result for ['Arnold I. Davidson']
['Margaret C. Ives'],Result for ['Margaret C. Ives']
['Olive Sayce'],Result for ['Olive Sayce']
['Richard Frohock'],Result for ['Richard Frohock']
['Ian F. A. Bell'],Result for ['Ian F. A. Bell']
['William Dusinberre'],Result for ['William Dusinberre']
['Terence Spencer'],Result for ['Terence Spencer']
['W. H. Bruford'],Result for ['W. H. Bruford']
['Alfred Harbage'],Result for ['Alfred Harbage']
['Walter Redfern'],Result for ['Walter Redfern']
['Ben Hutchinson'],Result for ['Ben Hutchinson']
['Jennifer Lorch'],Result for ['Jennifer Lorch']
['Henry Hargreaves'],Result for ['Henry Hargreaves']
['Leo Hickey'],Result for ['Leo Hickey']
['T. W. Baldwin'],Result for ['T. W. Baldwin']
 j roberts,Result for  j roberts
['Nicholas Daly'],Result for ['Nicholas Daly']
['Colin Walker'],Result for ['Colin Walker']
['P. F. Ganz'],Result for ['P. F. Ganz']
['Andrew Cusack'],Result for ['Andrew Cusack']
['Lance StJohn Butler'],Result for ['Lance StJohn Butler']
['W. E. Yates'],Result for ['W. E. Yates']
['A. H. Diverres'],Result for ['A. H. Diverres']
['R. John Williams'],Result for ['R. John Williams']
['G. V. S.'],Result for ['G. V. S.']
['John Watkins'],Result for ['John Watkins']
['Wolfgang Milde'],Result for ['Wolfgang Milde']
['Herbert Davis'],Result for ['Herbert Davis']
['Samuel F. Will'],Result for ['Samuel F. Will']
"[""Glenn O'Malley""]","Result for [""Glenn O'Malley""]"
['MICHAEL P. BIBLER'],Result for ['MICHAEL P. BIBLER']
['James M. Clark'],Result for ['James M. Clark']
['Anny Brooksbank Jones'],Result for ['Anny Brooksbank Jones']
['Clive Scott'],Result for ['Clive Scott']
['G. W. Ireland'],Result for ['G. W. Ireland']
['R. Travis Hardaway'],Result for ['R. Travis Hardaway']
 h w lawton,Result for  h w lawton
['ALEXANDRA HARRIS'],Result for ['ALEXANDRA HARRIS']
['Peter G. Foote'],Result for ['Peter G. Foote']
['Steven Connor'],Result for ['Steven Connor']
['James Kinsley'],Result for ['James Kinsley']
['Gertrud Koch'],Result for ['Gertrud Koch']
['Tom McAlindon'],Result for ['Tom McAlindon']
['JANE DESMARAIS'],Result for ['JANE DESMARAIS']
['Norman Gillespie'],Result for ['Norman Gillespie']
['Marjorie Perloff'],Result for ['Marjorie Perloff']
['J. B. Bamborough'],Result for ['J. B. Bamborough']
 bruce boehrer,Result for  bruce boehrer
['Howard Felperin'],Result for ['Howard Felperin']
['Alec G. Hargreaves'],Result for ['Alec G. Hargreaves']
['Jonathan Wordsworth'],Result for ['Jonathan Wordsworth']
['Fred V. Randel'],Result for ['Fred V. Randel']
['Stephen M. Hart'],Result for ['Stephen M. Hart']
['TOM WALKER'],Result for ['TOM WALKER']
['Arthur C. Kirsch'],Result for ['Arthur C. Kirsch']
['H. J. Oliver'],Result for ['H. J. Oliver']
['Jeremy Robbins'],Result for ['Jeremy Robbins']
['Elizabeth Mackenzie'],Result for ['Elizabeth Mackenzie']
['Paul Alpers'],Result for ['Paul Alpers']
['James Kastely'],Result for ['James Kastely']
['Claude Jenkins'],Result for ['Claude Jenkins']
['D. G. Little'],Result for ['D. G. Little']
['J.-C. Sallé'],Result for ['J.-C. Sallé']
['Barbara Smith'],Result for ['Barbara Smith']
['Robert A. Nye'],Result for ['Robert A. Nye']
['Anne Barton'],Result for ['Anne Barton']
['Donald\xa0M. Friedman'],Result for ['Donald\xa0M. Friedman']
['Raymond A. Anselment'],Result for ['Raymond A. Anselment']
['Christine S. Lee'],Result for ['Christine S. Lee']
['D. W. Hamlyn'],Result for ['D. W. Hamlyn']
['David Barnett'],Result for ['David Barnett']
['Mark Eccles'],Result for ['Mark Eccles']
['ANNE ETIENNE'],Result for ['ANNE ETIENNE']
['J. Bithell'],Result for ['J. Bithell']
['Adam Watt'],Result for ['Adam Watt']
['Charles G. Smith'],Result for ['Charles G. Smith']
['Julian Murphet'],Result for ['Julian Murphet']
"[""John O'Brien""]","Result for [""John O'Brien""]"
['Julia M. Walker'],Result for ['Julia M. Walker']
['K. G. Knight'],Result for ['K. G. Knight']
['I. P. Foote'],Result for ['I. P. Foote']
['LINDY BRADY'],Result for ['LINDY BRADY']
['Michael Patterson'],Result for ['Michael Patterson']
['W. G. Moore'],Result for ['W. G. Moore']
['Yakov Malkiel'],Result for ['Yakov Malkiel']
 andrea most,Result for  andrea most
['Laurie Langbauer'],Result for ['Laurie Langbauer']
['A. Tillotson'],Result for ['A. Tillotson']
['John Gledson'],Result for ['John Gledson']
['Robin Ann Sheets'],Result for ['Robin Ann Sheets']
['George E. Kent'],Result for ['George E. Kent']
['John Paul Riquelme'],Result for ['John Paul Riquelme']
['Terence Allan Hoagwood'],Result for ['Terence Allan Hoagwood']
['William Riley Parker'],Result for ['William Riley Parker']
['A. H. J. Knight'],Result for ['A. H. J. Knight']
['Calvin Claudel'],Result for ['Calvin Claudel']
"[""JOHN O'BRIEN""]","Result for [""JOHN O'BRIEN""]"
['Nicholas Royle'],Result for ['Nicholas Royle']
['Godfrey Ehrlich'],Result for ['Godfrey Ehrlich']
['John K. Reeves'],Result for ['John K. Reeves']
['T. Turville-Petre'],Result for ['T. Turville-Petre']
['Paul Salmon'],Result for ['Paul Salmon']
['Spire Pitou'],Result for ['Spire Pitou']
['Edward Glaser'],Result for ['Edward Glaser']
['Alfred E. Richards'],Result for ['Alfred E. Richards']
['Neil Thomas'],Result for ['Neil Thomas']
['Rachel Bennett'],Result for ['Rachel Bennett']
['R. A. Foakes'],Result for ['R. A. Foakes']
 john mccumber,Result for  john mccumber
['Geoffrey Connell'],Result for ['Geoffrey Connell']
['Sally Dalton-Brown'],Result for ['Sally Dalton-Brown']
['John E. Tailby'],Result for ['John E. Tailby']
['Harley Granville-Barker'],Result for ['Harley Granville-Barker']
['Raphael Salkie'],Result for ['Raphael Salkie']
['E. L. Marilla'],Result for ['E. L. Marilla']
['I. F. Roe'],Result for ['I. F. Roe']
['Edward Gallafent'],Result for ['Edward Gallafent']
 david mann,Result for  david mann
['Meg Jensen'],Result for ['Meg Jensen']
['Roger Paulin'],Result for ['Roger Paulin']
['Derek Pearsall'],Result for ['Derek Pearsall']
['Marjorie Nicolson'],Result for ['Marjorie Nicolson']
['Max Bach'],Result for ['Max Bach']
['Marjory Rigby'],Result for ['Marjory Rigby']
['H. R. Woudhuysen'],Result for ['H. R. Woudhuysen']
['C. E. Anibal'],Result for ['C. E. Anibal']
['Clyde de L. Ryals'],Result for ['Clyde de L. Ryals']
['Laurence M. Porter'],Result for ['Laurence M. Porter']
['Langdon Hammer'],Result for ['Langdon Hammer']
['M. L. Samuels'],Result for ['M. L. Samuels']
['Willard Bohn'],Result for ['Willard Bohn']
['Phiroze Vasunia'],Result for ['Phiroze Vasunia']
['Antony Higgins'],Result for ['Antony Higgins']
['Nigel Smith'],Result for ['Nigel Smith']
['Ethel Seaton'],Result for ['Ethel Seaton']
['Ian Higgins'],Result for ['Ian Higgins']
['Sheila Shaw'],Result for ['Sheila Shaw']
['F. E. Hutchinson'],Result for ['F. E. Hutchinson']
['M. Whiteley'],Result for ['M. Whiteley']
['Alice Walker'],Result for ['Alice Walker']
['John Frow'],Result for ['John Frow']
['David H. Walker'],Result for ['David H. Walker']
['Nicholas Saul'],Result for ['Nicholas Saul']
['F. T. H. Fletcher'],Result for ['F. T. H. Fletcher']
['G. Hainsworth'],Result for ['G. Hainsworth']
['A. K. G. Paterson'],Result for ['A. K. G. Paterson']
['Damian Walford Davies'],Result for ['Damian Walford Davies']
['James Booth'],Result for ['James Booth']
['Daniel Eilon'],Result for ['Daniel Eilon']
['F. G. Healey'],Result for ['F. G. Healey']
['H. Neville Davies'],Result for ['H. Neville Davies']
['R. H. Case'],Result for ['R. H. Case']
['John Batchelor'],Result for ['John Batchelor']
['G. Waterhouse'],Result for ['G. Waterhouse']
['Wendy Ayres-Bennett'],Result for ['Wendy Ayres-Bennett']
['Elliott M. Grant'],Result for ['Elliott M. Grant']
['J. A. Fort'],Result for ['J. A. Fort']
['Shadi Bartsch-Zimmer'],Result for ['Shadi Bartsch-Zimmer']
['Leslie Monkman'],Result for ['Leslie Monkman']
['David Coward'],Result for ['David Coward']
['R. D. Ackerman'],Result for ['R. D. Ackerman']
['J. D. Pheifer'],Result for ['J. D. Pheifer']
['Judith Robinson'],Result for ['Judith Robinson']
['DAVID STEWART'],Result for ['DAVID STEWART']
['A. Campbell'],Result for ['A. Campbell']
['W. P. Ker'],Result for ['W. P. Ker']
['Herbert H. Vaughan'],Result for ['Herbert H. Vaughan']
['H. Porter Abbott'],Result for ['H. Porter Abbott']
['S. Ullmann'],Result for ['S. Ullmann']
['Anna Balakian'],Result for ['Anna Balakian']
['M. J. C. Hodgart'],Result for ['M. J. C. Hodgart']
['Matthew Reynolds'],Result for ['Matthew Reynolds']
['Walter J. Ong'],Result for ['Walter J. Ong']
['Allan Rodway'],Result for ['Allan Rodway']
['Eric Gary Anderson'],Result for ['Eric Gary Anderson']
['Nick Rowe'],Result for ['Nick Rowe']
['A. A. Hill'],Result for ['A. A. Hill']
['Daniel Gilman'],Result for ['Daniel Gilman']
['Ian W. Alexander'],Result for ['Ian W. Alexander']
['Raphael Falco'],Result for ['Raphael Falco']
['Alan Wilde'],Result for ['Alan Wilde']
['Howard D. Weinbrot'],Result for ['Howard D. Weinbrot']
['Bartholow V. Crawford'],Result for ['Bartholow V. Crawford']
['James K. Chandler'],Result for ['James K. Chandler']
['Johann N. Schmidt'],Result for ['Johann N. Schmidt']
['Terence McCarthy'],Result for ['Terence McCarthy']
['Geoff Ward'],Result for ['Geoff Ward']
['Percy W. Long'],Result for ['Percy W. Long']
['C. L. W.'],Result for ['C. L. W.']
['John R. Rosenberg'],Result for ['John R. Rosenberg']
['P. J. Donnelly'],Result for ['P. J. Donnelly']
 herbert edwards,Result for  herbert edwards
['Bryan Green'],Result for ['Bryan Green']
['Malcolm C. Smith'],Result for ['Malcolm C. Smith']
['Robert Valentine Merrill'],Result for ['Robert Valentine Merrill']
['John Lewis'],Result for ['John Lewis']
['J. Norton-Smith'],Result for ['J. Norton-Smith']
['Anne Finger'],Result for ['Anne Finger']
['Frederick Tupper'],Result for ['Frederick Tupper']
['M. T. Jones-Davies'],Result for ['M. T. Jones-Davies']
['Shirley Chew'],Result for ['Shirley Chew']
['John Stokes'],Result for ['John Stokes']
['BEN CONISBEE BAER'],Result for ['BEN CONISBEE BAER']
['Glen A. Love'],Result for ['Glen A. Love']
['C. Colleer Abbott'],Result for ['C. Colleer Abbott']
 i m m,Result for  i m m
['Lawrence Lipking'],Result for ['Lawrence Lipking']
['GERARD ACHING'],Result for ['GERARD ACHING']
['Vera Gottlieb'],Result for ['Vera Gottlieb']
['Margot Gayle Backus'],Result for ['Margot Gayle Backus']
['Sarah Ellenzweig'],Result for ['Sarah Ellenzweig']
['Maria Donapetry'],Result for ['Maria Donapetry']
['R. B. McK.'],Result for ['R. B. McK.']
['R. F. Hill'],Result for ['R. F. Hill']
['Adrian Poole'],Result for ['Adrian Poole']
['Joel Morkan'],Result for ['Joel Morkan']
['J. R. MacGillivray'],Result for ['J. R. MacGillivray']
['G. Bullough'],Result for ['G. Bullough']
['Brian Murdoch'],Result for ['Brian Murdoch']
['Ingo Berensmeyer'],Result for ['Ingo Berensmeyer']
['TIM MILNES'],Result for ['TIM MILNES']
['William C. Atkinson'],Result for ['William C. Atkinson']
['George L. Marsh'],Result for ['George L. Marsh']
['Leo Hughes'],Result for ['Leo Hughes']
['Karen Sánchez-Eppler'],Result for ['Karen Sánchez-Eppler']
['Ernst A. Philippson'],Result for ['Ernst A. Philippson']
['M. M. Crow'],Result for ['M. M. Crow']
['T. Anthony Perry'],Result for ['T. Anthony Perry']
['Duncan Wu'],Result for ['Duncan Wu']
['John Schad'],Result for ['John Schad']
['Frank Donoghue'],Result for ['Frank Donoghue']
['Wendy Rosslyn'],Result for ['Wendy Rosslyn']
['A. R. Humphreys'],Result for ['A. R. Humphreys']
['JOHN LEVI BARNARD'],Result for ['JOHN LEVI BARNARD']
 archer taylor,Result for  archer taylor
['Michael Fixler'],Result for ['Michael Fixler']
['C. J. E. Ball'],Result for ['C. J. E. Ball']
['Rikky Rooksby'],Result for ['Rikky Rooksby']
['Elizabeth Wright'],Result for ['Elizabeth Wright']
['Andrew Spong'],Result for ['Andrew Spong']
['B. Rajan'],Result for ['B. Rajan']
['P. E. Bennett'],Result for ['P. E. Bennett']
['David J. Alpaugh'],Result for ['David J. Alpaugh']
['Carmine Mezzacappa'],Result for ['Carmine Mezzacappa']
['Kenneth R. Brooks'],Result for ['Kenneth R. Brooks']
['R. A. Williams'],Result for ['R. A. Williams']
['R. E. Keller'],Result for ['R. E. Keller']
['Loring Baker Walton'],Result for ['Loring Baker Walton']
['H. T. Webster'],Result for ['H. T. Webster']
['Caragh Wells'],Result for ['Caragh Wells']
['Barbara C. Raw'],Result for ['Barbara C. Raw']
['Claire J. Raeth'],Result for ['Claire J. Raeth']
['E. G. R. Waters'],Result for ['E. G. R. Waters']
['John J. Allen'],Result for ['John J. Allen']
['Ian R. Morrison'],Result for ['Ian R. Morrison']
['R. V. Holdsworth'],Result for ['R. V. Holdsworth']
['Jon Silkin'],Result for ['Jon Silkin']
